Model,TP,TN,FP,FN,Misclass Rate,AUC,Accuracy,Sensitivity,Specificity,Precision,Fall-out,FDR,Miss Rate,F Measure,MCC,Mailings,Profit
12a,981,806,213,18,231,0.8865,0.8855,0.9820,0.7910,0.8216,0.2090,0.1784,0.0180,0.8947,0.7862,1194,11836.5
12d,981,800,219,18,237,0.8835,0.8826,0.9820,0.7851,0.8175,0.2149,0.1825,0.0180,0.8922,0.7812,1200,11824.5
11a,973,806,213,26,239,0.8825,0.8816,0.9740,0.7910,0.8204,0.2090,0.1796,0.0260,0.8906,0.7770,1186,11736.5
11d,973,804,215,26,241,0.8815,0.8806,0.9740,0.7890,0.8190,0.2110,0.1810,0.0260,0.8898,0.7752,1188,11732.5
7b,984,786,233,15,248,0.8782,0.8771,0.9850,0.7713,0.8085,0.2287,0.1915,0.0150,0.8881,0.7729,1217,11834
7c,991,770,249,8,257,0.8738,0.8726,0.9920,0.7556,0.7992,0.2444,0.2008,0.0080,0.8852,0.7680,1240,11889.5
11c,979,780,239,20,259,0.8727,0.8717,0.9800,0.7655,0.8038,0.2345,0.1962,0.0200,0.8832,0.7619,1218,11759.5
11f,979,780,239,20,259,0.8727,0.8717,0.9800,0.7655,0.8038,0.2345,0.1962,0.0200,0.8832,0.7619,1218,11759.5
12b,992,764,255,7,262,0.8714,0.8702,0.9930,0.7498,0.7955,0.2502,0.2045,0.0070,0.8833,0.7643,1247,11890
5c,989,764,255,10,265,0.8699,0.8687,0.9900,0.7498,0.7950,0.2502,0.2050,0.0100,0.8819,0.7606,1244,11852.5
6c,989,764,255,10,265,0.8699,0.8687,0.9900,0.7498,0.7950,0.2502,0.2050,0.0100,0.8819,0.7606,1244,11852.5
12c,993,760,259,6,265,0.8699,0.8687,0.9940,0.7458,0.7931,0.2542,0.2069,0.0060,0.8823,0.7622,1252,11894.5
12f,993,760,259,6,265,0.8699,0.8687,0.9940,0.7458,0.7931,0.2542,0.2069,0.0060,0.8823,0.7622,1252,11894.5
13f,936,808,211,63,274,0.8649,0.8642,0.9369,0.7929,0.8160,0.2071,0.1840,0.0631,0.8723,0.7368,1147,11278
12e,994,751,268,5,273,0.8660,0.8647,0.9950,0.7370,0.7876,0.2630,0.2124,0.0050,0.8793,0.7561,1262,11889
2b,987,752,267,12,279,0.8630,0.8617,0.9880,0.7380,0.7871,0.2620,0.2129,0.0120,0.8762,0.7483,1254,11803.5
8c,993,741,278,6,284,0.8606,0.8593,0.9940,0.7272,0.7813,0.2728,0.2187,0.0060,0.8749,0.7468,1271,11856.5
6b,992,740,279,7,286,0.8596,0.8583,0.9930,0.7262,0.7805,0.2738,0.2195,0.0070,0.8740,0.7447,1271,11842
8b,993,737,282,6,288,0.8586,0.8573,0.9940,0.7233,0.7788,0.2767,0.2212,0.0060,0.8734,0.7435,1275,11848.5
11b,984,744,275,15,290,0.8576,0.8563,0.9850,0.7301,0.7816,0.2699,0.2184,0.0150,0.8716,0.7381,1259,11750
11e,984,744,275,15,290,0.8576,0.8563,0.9850,0.7301,0.7816,0.2699,0.2184,0.0150,0.8716,0.7381,1259,11750
4i,938,782,237,61,298,0.8532,0.8523,0.9389,0.7674,0.7983,0.2326,0.2017,0.0611,0.8629,0.7161,1175,11251
4e,950,771,248,49,297,0.8538,0.8528,0.9510,0.7566,0.7930,0.2434,0.2070,0.0490,0.8648,0.7203,1198,11379
10b,976,748,271,23,294,0.8555,0.8543,0.9770,0.7341,0.7827,0.2659,0.2173,0.0230,0.8691,0.7316,1247,11658
13c,886,823,196,113,309,0.8473,0.8469,0.8869,0.8077,0.8189,0.1923,0.1811,0.1131,0.8515,0.6963,1082,10683
4c,935,781,238,64,302,0.8512,0.8503,0.9359,0.7664,0.7971,0.2336,0.2029,0.0641,0.8610,0.7118,1173,11211.5
4k,948,767,252,51,303,0.8508,0.8499,0.9489,0.7527,0.7900,0.2473,0.2100,0.0511,0.8622,0.7145,1200,11346
4j,936,777,242,63,305,0.8497,0.8489,0.9369,0.7625,0.7946,0.2375,0.2054,0.0631,0.8599,0.7094,1178,11216
4f,948,766,253,51,304,0.8503,0.8494,0.9489,0.7517,0.7893,0.2483,0.2107,0.0511,0.8618,0.7137,1201,11344
4d,940,771,248,59,307,0.8488,0.8479,0.9409,0.7566,0.7912,0.2434,0.2088,0.0591,0.8596,0.7088,1188,11254
13d,928,780,239,71,310,0.8472,0.8464,0.9289,0.7655,0.7952,0.2345,0.2048,0.0711,0.8569,0.7030,1167,11122
4l,949,760,259,50,309,0.8479,0.8469,0.9499,0.7458,0.7856,0.2542,0.2144,0.0501,0.8600,0.7097,1208,11344.5
13a,909,793,226,90,316,0.8441,0.8434,0.9099,0.7782,0.8009,0.2218,0.1991,0.0901,0.8519,0.6935,1135,10910.5
1b,993,719,300,6,306,0.8498,0.8484,0.9940,0.7056,0.7680,0.2944,0.2320,0.0060,0.8665,0.7290,1293,11812.5
4a,914,784,235,85,320,0.8421,0.8414,0.9149,0.7694,0.7955,0.2306,0.2045,0.0851,0.8510,0.6909,1149,10955
4g,911,785,234,88,322,0.8411,0.8404,0.9119,0.7704,0.7956,0.2296,0.2044,0.0881,0.8498,0.6885,1145,10919.5
5a,985,713,306,14,320,0.8428,0.8414,0.9860,0.6997,0.7630,0.3003,0.2370,0.0140,0.8603,0.7141,1291,11700.5
4h,916,772,247,83,330,0.8373,0.8365,0.9169,0.7576,0.7876,0.2424,0.2124,0.0831,0.8474,0.6825,1163,10956
10e,982,710,309,17,326,0.8399,0.8385,0.9830,0.6968,0.7607,0.3032,0.2393,0.0170,0.8576,0.7079,1291,11657
14b,993,699,320,6,326,0.8400,0.8385,0.9940,0.6860,0.7563,0.3140,0.2437,0.0060,0.8590,0.7131,1313,11772.5
7a,986,705,314,13,327,0.8394,0.8380,0.9870,0.6919,0.7585,0.3081,0.2415,0.0130,0.8578,0.7089,1300,11697
2a,981,709,310,18,328,0.8389,0.8375,0.9820,0.6958,0.7599,0.3042,0.2401,0.0180,0.8568,0.7059,1291,11642.5
14e,993,695,324,6,330,0.8380,0.8365,0.9940,0.6820,0.7540,0.3180,0.2460,0.0060,0.8575,0.7099,1317,11764.5
4b,899,775,244,100,344,0.8302,0.8295,0.8999,0.7605,0.7865,0.2395,0.2135,0.1001,0.8394,0.6663,1143,10749.5
10a,985,693,326,14,340,0.8330,0.8315,0.9860,0.6801,0.7513,0.3199,0.2487,0.0140,0.8528,0.6980,1311,11660.5
10d,985,693,326,14,340,0.8330,0.8315,0.9860,0.6801,0.7513,0.3199,0.2487,0.0140,0.8528,0.6980,1311,11660.5
10c,984,693,326,15,341,0.8325,0.8310,0.9850,0.6801,0.7511,0.3199,0.2489,0.0150,0.8523,0.6968,1310,11648
10f,984,693,326,15,341,0.8325,0.8310,0.9850,0.6801,0.7511,0.3199,0.2489,0.0150,0.8523,0.6968,1310,11648
2c,994,677,342,5,347,0.8297,0.8280,0.9950,0.6644,0.7440,0.3356,0.2560,0.0050,0.8514,0.6970,1336,11741
13e,980,688,331,19,350,0.8281,0.8266,0.9810,0.6752,0.7475,0.3248,0.2525,0.0190,0.8485,0.6876,1311,11588
1c,994,667,352,5,357,0.8248,0.8231,0.9950,0.6546,0.7385,0.3454,0.2615,0.0050,0.8478,0.6891,1346,11721
1a,985,675,344,14,358,0.8242,0.8226,0.9860,0.6624,0.7412,0.3376,0.2588,0.0140,0.8462,0.6837,1329,11624.5
13b,984,672,347,15,362,0.8222,0.8206,0.9850,0.6595,0.7393,0.3405,0.2607,0.0150,0.8446,0.6800,1331,11606
8a,993,663,356,6,362,0.8223,0.8206,0.9940,0.6506,0.7361,0.3494,0.2639,0.0060,0.8458,0.6846,1349,11700.5
6a,994,659,360,5,365,0.8209,0.8191,0.9950,0.6467,0.7341,0.3533,0.2659,0.0050,0.8449,0.6828,1354,11705
14a,985,660,359,14,373,0.8168,0.8152,0.9860,0.6477,0.7329,0.3523,0.2671,0.0140,0.8408,0.6718,1344,11594.5
14d,985,659,360,14,374,0.8163,0.8147,0.9860,0.6467,0.7323,0.3533,0.2677,0.0140,0.8404,0.6710,1345,11592.5
15f,989,655,364,10,374,0.8164,0.8147,0.9900,0.6428,0.7310,0.3572,0.2690,0.0100,0.8410,0.6731,1353,11634.5
15b,989,653,366,10,376,0.8154,0.8137,0.9900,0.6408,0.7299,0.3592,0.2701,0.0100,0.8403,0.6715,1355,11630.5
14c,993,649,370,6,376,0.8154,0.8137,0.9940,0.6369,0.7285,0.3631,0.2715,0.0060,0.8408,0.6737,1363,11672.5
14f,993,649,370,6,376,0.8154,0.8137,0.9940,0.6369,0.7285,0.3631,0.2715,0.0060,0.8408,0.6737,1363,11672.5
15e,988,648,371,11,382,0.8125,0.8107,0.9890,0.6359,0.7270,0.3641,0.2730,0.0110,0.8380,0.6662,1359,11608
15a,992,625,394,7,401,0.8032,0.8013,0.9930,0.6133,0.7157,0.3867,0.2843,0.0070,0.8319,0.6537,1386,11612
15c,992,625,394,7,401,0.8032,0.8013,0.9930,0.6133,0.7157,0.3867,0.2843,0.0070,0.8319,0.6537,1386,11612
9a,962,645,374,37,411,0.7980,0.7963,0.9630,0.6330,0.7201,0.3670,0.2799,0.0370,0.8240,0.6299,1336,11277
15d,994,613,406,5,411,0.7983,0.7963,0.9950,0.6016,0.7100,0.3984,0.2900,0.0050,0.8287,0.6471,1400,11613
3a,963,610,409,36,445,0.7813,0.7795,0.9640,0.5986,0.7019,0.4014,0.2981,0.0360,0.8123,0.6029,1372,11219.5
9b,930,631,388,69,457,0.7751,0.7735,0.9309,0.6192,0.7056,0.3808,0.2944,0.0691,0.8028,0.5779,1318,10849
9c,930,631,388,69,457,0.7751,0.7735,0.9309,0.6192,0.7056,0.3808,0.2944,0.0691,0.8028,0.5779,1318,10849
3b,983,499,520,16,536,0.7368,0.7344,0.9840,0.4897,0.6540,0.5103,0.3460,0.0160,0.7858,0.5432,1503,11247.5
3c,977,493,526,22,548,0.7309,0.7284,0.9780,0.4838,0.6500,0.5162,0.3500,0.0220,0.7810,0.5296,1503,11160.5
5b,454,486,533,545,1078,0.4657,0.4658,0.4545,0.4769,0.4600,0.5231,0.5400,0.5455,0.4572,-0.0686,987,4609
